fold,modality,test_chunk,train_imgs,val_imgs,test_imgs,val_precision,val_recall,val_map50,val_map50_95,test_precision,test_recall,test_map50,test_map50_95,best_epoch,train_time_min,run_dir
0,LF,Chunk0,3451,384,1055,0.9794,0.9752,0.9884,0.7473,0.9831,0.8815,0.9284,0.5651,27,14.5,/home/alp/thesis/runs/kfold/fold0_LF
0,HF,Chunk0,3617,402,903,0.9809,0.9686,0.9924,0.7177,0.9457,0.8804,0.9225,0.4873,44,17.4,/home/alp/thesis/runs/kfold/fold0_HF
1,LF,Chunk1,3914,435,541,0.9855,0.9893,0.9934,0.7825,1.0,0.8637,0.8844,0.5637,36,16.8,/home/alp/thesis/runs/kfold/fold1_LF
1,HF,Chunk1,3943,438,541,0.9841,0.9783,0.9936,0.7332,0.9798,0.8138,0.854,0.2573,41,19.3,/home/alp/thesis/runs/kfold/fold1_HF
2,LF,Chunk2,3916,435,539,0.9803,0.9654,0.9911,0.7696,0.9755,0.7714,0.8305,0.502,24,16.8,/home/alp/thesis/runs/kfold/fold2_LF
2,HF,Chunk2,3945,438,539,0.9848,0.9849,0.9943,0.749,0.9792,0.757,0.8832,0.4515,41,19.6,/home/alp/thesis/runs/kfold/fold2_HF
3,LF,Chunk3,4231,470,189,0.9859,0.9765,0.9895,0.7616,0.6988,0.7419,0.6775,0.1078,44,18.2,/home/alp/thesis/runs/kfold/fold3_LF
3,HF,Chunk3,4259,473,190,0.9828,0.9718,0.9906,0.7415,0.9557,0.931,0.9673,0.3316,30,21.5,/home/alp/thesis/runs/kfold/fold3_HF
4,LF,Chunk4,2092,232,2566,0.9868,0.9937,0.9948,0.7968,0.9368,0.8703,0.909,0.4396,46,9.1,/home/alp/thesis/runs/kfold/fold4_LF
4,HF,Chunk4,1956,217,2749,0.9531,0.9558,0.9844,0.7516,0.9233,0.847,0.9005,0.4253,45,10.0,/home/alp/thesis/runs/kfold/fold4_HF
